Recall Number,Open Date,Year,Class(R),Class(A),Pounds Recalled,Product,Problem Type
017-2009,26/04/2009,2009,II,2,139831,Frozen Meat and Poultry Pasta Products,Other
018-2009,29/04/2009,2009,II,2,16213,Hot-Pot Seasoning Product,Other
019-2009,04/05/2009,2009,I,1,4663,Ground Beef Products,E. coli
R01-2009,12/05/2009,2009,I,1,375,Ground Beef Products,E. coli
020-2009,14/05/2009,2009,II,2,4594,Red Pork Tamale Products,Undeclared Allergen
021-2009,14/05/2009,2009,I,1,2075,Frozen Pork Products,Undeclared Allergen
022-2009,21/05/2009,2009,I,1,95898,Ground Beef Products,E. coli
023-2009,22/05/2009,2009,I,1,350000,Beef and Pork Products,Unapproved Substance
024-2009,29/05/2009,2009,III,3,14560,Beef Primal and Subprimal Products,Other
025-2009,29/05/2009,2009,III,3,241000,Ground Beef Products,Extraneous Material
026-2009,02/06/2009,2009,III,3,153698,Chili No Beans,Misbranding
027-2009,02/06/2009,2009,I,1,39973,Ground Beef Products,E. coli
028-2009,03/06/2009,2009,I,1,564,Duck Leg Confit and Kolbase Sausage,Listeria monocytogenes
029-2009,05/06/2009,2009,I,1,79312,Various Fully Cooked Ready to Eat Meat and Poultry Products,Processing Defect
030-2009,08/06/2009,2009,I,1,75,Beef Trim Products,E. coli
031-2009,10/06/2009,2009,III,3,2680000,Fully Cooked Ham Products,Undeclared Substance
032-2009,10/06/2009,2009,I,1,608188,Frozen Poultry Products,Undeclared Allergen
033-2009,22/06/2009,2009,I,1,6152,Ground Beef Products,E. coli
034-2009,24/06/2009,2009,I,1,380000,Beef Products,E. coli
035-2009,24/06/2009,2009,I,1,350,Cervelat Sausage Product,Processing Defect
036-2009,30/06/2009,2009,II,2,208768,Frozen Meat and Poultry Products,Unapproved Substance
037-2009,01/07/2009,2009,I,1,Undetermined,Pre-Packaged Meal Kits,Salmonella
038-2009,12/07/2009,2009,I,1,219,Ground Beef Products,E. coli
039-2009,22/07/2009,2009,I,1,466236,Ground Beef Products,Salmonella
040-2009,29/07/2009,2009,I,1,1450,Ready to Eat Pork Skin Products,Other
041-2009,06/08/2009,2009,I,1,825769,Ground Beef Products,Salmonella
042-2009,13/08/2009,2009,I,1,3516,Ground Beef Products,E. coli
043-2009,17/08/2009,2009,I,1,128,Ground Beef Products,E. coli
044-2009,17/08/2009,2009,II,2,8000,Frozen Pepperoni and Sausage Pizza Products,Undeclared Allergen
045-2009,24/08/2009,2009,I,1,207,Smoked Beef Products,Listeria monocytogenes
046-2009,01/09/2009,2009,I,1,39514,Ready to Eat Meal Kits,Listeria monocytogenes
047-2009,08/09/2009,2009,I,1,6490,Chunky Grilled Steak with Vegetables Canned Soup,Processing Defect
